,L1_DAC,L1_DLAC,L1_HAC,L1_NGC-DA,L1_NGC-SA,L1_SLAC,L23_BP,L23_BTC,L23_ChC,L23_DBC,L23_LBC,L23_MC,L23_NBC,L23_NGC,L23_PC,L23_SBC,L4_BP,L4_BTC,L4_ChC,L4_DBC,L4_LBC,L4_MC,L4_NBC,L4_NGC,L4_PC,L4_SBC,L4_SP,L4_SS,L5_BP,L5_BTC,L5_ChC,L5_DBC,L5_LBC,L5_MC,L5_NBC,L5_NGC,L5_SBC,L5_STPC,L5_TTPC1,L5_TTPC2,L5_UTPC,L6_BP,L6_BPC,L6_BTC,L6_ChC,L6_DBC,L6_IPC,L6_LBC,L6_MC,L6_NBC,L6_NGC,L6_SBC,L6_TPC_L1,L6_TPC_L4,L6_UTPC,
L6_DBC,0,0,0,0,0,0,0,0,0,0,21,25,13,5,373,9,0,0,0,9,33,18,13,0,647,6,202,116,3,13,29,14,108,80,41,0,0,98,1903,1761,192,3,2133,0,0,11,1682,194,237,41,0,19,859,715,1290, 
L6_IPC,0,0,5,0,0,0,0,73,17,0,293,230,173,0,3462,71,0,40,5,24,380,496,203,0,8653,111,2677,1344,47,1350,397,647,4188,10862,4858,19,308,9328,100157,70304,7929,1680,458785,9277,1752,1340,445070,53951,52744,22933,253,5144,197674,168089,260093, 
L6_LBC,0,0,0,0,0,0,0,50,25,14,180,208,116,0,3281,66,10,101,55,45,448,614,414,14,11916,209,4016,1667,171,1292,432,616,3525,7733,3381,12,230,9193,101567,76686,8304,586,189781,3046,689,369,171473,19032,18536,7395,126,2259,84472,73569,112025, 
L6_MC,274,70,135,148,81,89,9,859,429,277,3523,3440,2274,223,49333,1222,7,303,130,192,1289,1844,1187,21,46855,493,15414,5912,125,1540,282,647,3695,8120,3166,17,336,12776,126560,110986,9991,265,92800,1735,171,356,72405,8301,7406,3975,39,879,44766,39297,57528, 
L6_NBC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,0,0,12,20,6,0,137,0,40,0,57,420,114,189,1071,3300,1366,6,197,2499,31323,20743,2081,374,95126,1530,306,218,90114,9605,9237,4453,20,1022,43500,37298,52527, 
L6_NGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,68,121,54,0,23,55,591,359,13,12,6583,112,17,34,6236,627,751,340,0,117,2712,2346,3599, 
L6_SBC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,8,42,37,41,202,660,247,0,0,425,4966,3361,377,87,22755,304,110,100,22281,2500,2358,930,19,178,11425,9399,13459, 
L6_TPC_L1,0,5,9,0,5,0,0,114,20,0,467,266,223,24,5165,78,0,63,28,36,615,765,526,11,16588,256,5154,2359,162,1840,462,671,4564,10536,4651,11,329,10637,114396,85447,10327,902,246963,4595,991,787,219211,28656,26274,10993,163,2811,113685,98408,146723, 
L6_TPC_L4,0,13,0,0,0,0,0,142,40,0,471,370,284,28,6629,161,0,67,16,60,555,811,541,22,14834,247,5047,2134,0,1198,324,468,3503,7111,3166,11,300,7633,80311,61276,6665,820,223061,4756,708,682,209100,25678,24303,9925,166,2286,97339,86499,127129, 
L6_UTPC,3,9,0,0,0,0,0,142,42,51,625,399,386,36,7621,120,0,117,47,58,861,1160,687,0,21148,348,7102,3076,128,1488,359,653,4097,9890,4243,14,331,9922,102586,78818,8685,1403,382497,7542,1501,1003,378685,42875,42875,18548,287,4028,161736,136806,214473, 
